"Time","Process","WorkingSetMB","PrivateMB","GrowthMB","Handles","Threads","SysFreeMB"
"20:21:10","obs64","288,1","982,8","0,1","5639","142","13919"
"20:21:25","Starfield","8457,3","12123,8","8811,2","3799","133","12771"
"20:21:25","obs64","288,1","982,8","0,1","5639","142","12771"
"20:21:40","Starfield","9898,8","15593,9","12281,3","3835","130","11322"
"20:21:40","obs64","288,1","982,8","0,1","5637","142","11322"
"20:21:55","Starfield","9401,1","15721,2","12408,6","3913","129","11543"
"20:21:55","obs64","288,1","982,8","0,1","5639","142","11543"
"20:22:10","Starfield","9416,4","16073,1","12760,5","3913","129","11574"
"20:22:10","obs64","339,9","1065,1","82,4","6502","160","11574"
"20:22:25","Starfield","9411,6","16068,3","12755,7","3911","129","11661"
"20:22:25","obs64","339,9","1065,1","82,4","6500","159","11661"
"20:22:40","Starfield","9411,8","16068,4","12755,8","3907","129","11818"
"20:22:40","obs64","337,7","1065,2","82,5","6503","160","11818"
"20:22:55","Starfield","9401,9","16058,5","12745,9","3891","129","11786"
"20:22:55","obs64","337,7","1065,1","82,4","6503","160","11786"
"20:23:10","Starfield","9401,8","16058,5","12745,9","3891","129","11824"
"20:23:10","obs64","337,7","1065,2","82,5","6503","160","11824"
"20:23:25","Starfield","9402,1","16058,7","12746,1","3888","128","11830"
"20:23:25","obs64","337,7","1065,2","82,5","6503","160","11830"
"20:23:41","Starfield","9402,4","16058,9","12746,3","3888","128","11825"
"20:23:41","obs64","337,8","1065,2","82,5","6496","160","11825"
"20:23:56","Starfield","9402,4","16058,9","12746,3","3888","128","11807"
"20:23:56","obs64","337,7","1065,2","82,5","6496","160","11807"
"20:24:11","Starfield","9402,7","16059,2","12746,6","3877","125","11819"
"20:24:11","obs64","337,8","1065,2","82,5","6499","160","11819"
"20:24:26","Starfield","9402,6","16059,1","12746,5","3878","125","11865"
"20:24:26","obs64","337,8","1065,2","82,5","6499","160","11865"
"20:24:41","Starfield","9402,1","16058,6","12746","3874","125","11879"
"20:24:41","obs64","337,8","1065,2","82,5","6497","160","11879"
"20:24:56","Starfield","9402,1","16058,5","12745,9","3874","125","11869"
"20:24:56","obs64","337,8","1065,2","82,5","6499","160","11869"
"20:25:11","Starfield","9402,3","16058,7","12746,1","3873","124","11877"
"20:25:11","obs64","337,8","1065,2","82,5","6501","160","11877"
"20:25:26","Starfield","9402","16058,4","12745,8","3873","124","11856"
"20:25:26","obs64","338","1065,4","82,7","6501","160","11856"
"20:25:41","Starfield","9401,8","16057,5","12744,9","3874","125","11835"
"20:25:41","obs64","337,8","1065,1","82,4","6497","159","11835"
"20:25:56","obs64","292,3","1091,1","0","5609","139","21380"
"20:26:11","obs64","286,5","983,3","-107,8","5609","139","21274"
"20:26:26","obs64","286,5","983,3","-107,8","5609","139","21323"
"20:26:41","obs64","286,5","983,4","-107,7","5609","139","21011"
"20:26:56","obs64","286,5","983,3","-107,8","5606","138","21165"
"20:27:11","obs64","288","993,4","-97,7","5619","139","21170"
"20:27:26","Starfield","1,9","45,6","0","0","1","21157"
"20:27:26","obs64","288","993,4","-97,7","5619","139","21157"
"20:27:42","Starfield","273,4","3312,1","3266,5","435","24","20928"
"20:27:42","obs64","288","993,4","-97,7","5619","139","20928"
"20:27:57","Starfield","273,4","3312,1","3266,5","435","24","20878"
"20:27:57","obs64","288","993,4","-97,7","5619","139","20878"
"20:28:12","Starfield","273,5","3312,1","3266,5","435","25","20923"
"20:28:12","obs64","288","993,4","-97,7","5619","139","20923"
"20:28:27","Starfield","273,5","3312,1","3266,5","435","25","20920"
"20:28:27","obs64","288","993,4","-97,7","5621","139","20920"
"20:28:42","Starfield","273,5","3312,1","3266,5","435","25","20952"
"20:28:42","obs64","288","993,4","-97,7","5621","139","20952"
"20:28:57","Starfield","273,5","3312,1","3266,5","435","25","20967"
"20:28:57","obs64","288","993,4","-97,7","5621","139","20967"
"20:29:12","Starfield","273,5","3312,1","3266,5","435","25","20965"
"20:29:12","obs64","288","993,4","-97,7","5617","138","20965"
"20:29:27","Starfield","273,5","3312,1","3266,5","435","25","20986"
"20:29:27","obs64","288","993,4","-97,7","5617","139","20986"
"20:29:42","Starfield","273,5","3312,1","3266,5","435","25","21000"
"20:29:42","obs64","288","993,4","-97,7","5617","139","21000"
"20:29:57","Starfield","273,5","3312,1","3266,5","435","25","21019"
"20:29:57","obs64","288","993,4","-97,7","5619","139","21019"
"20:30:12","Starfield","273,5","3312,1","3266,5","435","25","21002"
"20:30:12","obs64","288","993,4","-97,7","5619","139","21002"
"20:30:27","Starfield","273,5","3312,1","3266,5","435","25","20993"
"20:30:27","obs64","288","993,4","-97,7","5617","139","20993"
"20:30:42","Starfield","273,5","3312,1","3266,5","435","25","20982"
"20:30:42","obs64","288","993,4","-97,7","5619","139","20982"
"20:30:57","Starfield","273,5","3312,1","3266,5","435","25","20986"
"20:30:57","obs64","288","993,4","-97,7","5618","139","20986"
"20:31:12","Starfield","273,5","3312,1","3266,5","435","25","20866"
"20:31:12","obs64","288","993,4","-97,7","5618","139","20866"
"20:31:27","Starfield","273,5","3312,1","3266,5","435","25","20859"
"20:31:27","obs64","288,2","993,4","-97,7","5622","141","20859"
"20:31:42","Starfield","273,5","3312,1","3266,5","435","25","20883"
"20:31:42","obs64","288,1","993,4","-97,7","5622","141","20883"
"20:31:58","Starfield","273,5","3312,1","3266,5","435","25","20865"
"20:31:58","obs64","288,1","993,4","-97,7","5620","141","20865"
"20:32:13","Starfield","273,5","3312,1","3266,5","435","25","20871"
"20:32:13","obs64","288,1","993,4","-97,7","5618","140","20871"
"20:32:28","Starfield","273,5","3312,1","3266,5","435","25","20872"
"20:32:28","obs64","288,1","993,4","-97,7","5618","140","20872"
"20:32:43","Starfield","273,5","3312,1","3266,5","435","25","20875"
"20:32:43","obs64","288,1","993,4","-97,7","5616","140","20875"
"20:32:58","Starfield","273,5","3312,1","3266,5","435","25","20902"
"20:32:58","obs64","288,2","993,4","-97,7","5618","140","20902"
"20:33:13","Starfield","273,5","3312,1","3266,5","435","25","20908"
"20:33:13","obs64","288,2","993,4","-97,7","5618","140","20908"
"20:33:28","obs64","288,2","993,4","0","5616","140","21094"
"20:33:43","obs64","288,1","993,3","-0,1","5616","137","21118"
"20:33:58","obs64","288,1","993,3","-0,1","5616","137","21141"
"20:34:13","obs64","288,1","993,4","0","5614","138","21141"
"20:34:28","obs64","288,1","993,4","0","5616","138","21162"
"20:34:43","Starfield","212,7","3292","0","408","23","20909"
"20:34:43","obs64","288,1","993,4","0","5616","138","20909"
"20:34:58","Starfield","531,7","3560,3","268,3","1435","48","20659"
"20:34:58","obs64","288,1","993,4","0","5616","138","20659"
"20:35:13","Starfield","7124,7","9763,5","6471,5","3524","123","13922"
"20:35:13","obs64","287,1","983,4","-10","5641","142","13922"
"20:35:28","Starfield","8090,4","10906,2","7614,2","3575","130","12973"
"20:35:28","obs64","287,1","983,4","-10","5641","142","12973"
"20:35:44","Starfield","8314,1","11604,2","8312,2","3600","129","12676"
"20:35:44","obs64","287,1","983,4","-10","5640","142","12676"
"20:35:59","Starfield","9812,9","15468,8","12176,8","3840","129","11185"
"20:35:59","obs64","287,1","983,4","-10","5640","142","11185"
"20:36:14","Starfield","9384,3","15618,8","12326,8","3916","128","11365"
"20:36:14","obs64","287,1","983,4","-10","5642","142","11365"
"20:36:29","Starfield","9392,8","15996,8","12704,8","3913","128","11469"
"20:36:29","obs64","287,1","983,5","-9,9","5642","142","11469"
"20:36:44","Starfield","9393,3","15997,7","12705,7","3911","128","11480"
"20:36:44","obs64","338,9","1065,4","72","6506","160","11480"
"20:36:59","Starfield","9393,5","15998","12706","3884","125","11523"
"20:36:59","obs64","338,6","1065,1","71,7","6504","159","11523"
"20:37:14","Starfield","9392,5","15996,7","12704,7","3886","125","11572"
"20:37:14","obs64","338,6","1065,1","71,7","6502","158","11572"
"20:37:29","Starfield","9392,6","15996,6","12704,6","3883","124","11576"
"20:37:29","obs64","338,6","1065,1","71,7","6502","158","11576"
"20:37:44","Starfield","9393","15997","12705","3881","124","11714"
"20:37:44","obs64","334,3","1065","71,6","6503","158","11714"
"20:37:59","Starfield","9392,7","15996,8","12704,8","3882","124","11719"
"20:37:59","obs64","334,4","1065,1","71,7","6503","158","11719"
"20:38:14","Starfield","9392,6","15996,6","12704,6","3881","123","11722"
"20:38:14","obs64","334,4","1065,1","71,7","6501","158","11722"
"20:38:29","Starfield","9392,7","15996,6","12704,6","3879","123","11678"
"20:38:29","obs64","334,4","1065,1","71,7","6501","158","11678"
"20:38:44","Starfield","9393,1","15997","12705","3877","123","11681"
"20:38:44","obs64","334,4","1065,1","71,7","6503","158","11681"
"20:38:59","Starfield","9393,1","15997","12705","3876","123","11675"
"20:38:59","obs64","334,8","1065,1","71,7","6505","158","11675"
"20:39:14","Starfield","9392,9","15997,2","12705,2","3875","123","11664"
"20:39:14","obs64","334,8","1065,1","71,7","6505","158","11664"
"20:39:29","Starfield","9391,8","15981,2","12689,2","3875","123","11693"
"20:39:29","obs64","334,8","1065,1","71,7","6505","158","11693"
"20:39:45","Starfield","9392,3","15981,3","12689,3","3876","124","11708"
"20:39:45","obs64","334,8","1065,1","71,7","6505","158","11708"
"20:40:00","Starfield","9392,3","15981,2","12689,2","3872","123","11725"
"20:40:00","obs64","334,8","1065,1","71,7","6505","158","11725"
"20:40:15","Starfield","9392,3","15981,2","12689,2","3872","123","11727"
"20:40:15","obs64","334,9","1065,1","71,7","6505","158","11727"
"20:40:30","Starfield","9392,3","15981,2","12689,2","3867","122","11727"
"20:40:30","obs64","334,8","1065,1","71,7","6505","158","11727"
"20:40:45","Starfield","9392,3","15981,1","12689,1","3869","123","11715"
"20:40:45","obs64","334,9","1065,1","71,7","6505","158","11715"
"20:41:00","Starfield","9391,3","15980","12688","3869","123","11723"
"20:41:00","obs64","334,9","1065,1","71,7","6503","158","11723"
"20:41:15","Starfield","9391,5","15980,2","12688,2","3877","123","11733"
"20:41:15","obs64","334,9","1065,1","71,7","6505","158","11733"
"20:41:30","Starfield","9391,4","15980,2","12688,2","3872","122","11729"
"20:41:30","obs64","334,9","1065","71,6","6500","157","11729"
"20:41:45","Starfield","9391,5","15980,2","12688,2","3872","122","11745"
"20:41:45","obs64","334,9","1065,1","71,7","6498","158","11745"
"20:42:00","Starfield","9391,6","15980,3","12688,3","3872","122","11752"
"20:42:00","obs64","334,9","1065,1","71,7","6500","158","11752"
"20:42:15","Starfield","9391,4","15980,1","12688,1","3872","122","11754"
"20:42:15","obs64","334,9","1065","71,6","6500","158","11754"
"20:42:30","Starfield","9391,3","15980,1","12688,1","3873","123","11747"
"20:42:30","obs64","335","1065,1","71,7","6500","158","11747"
"20:42:45","Starfield","9391,6","15980,3","12688,3","3865","121","11870"
"20:42:45","obs64","289,8","1065,1","71,7","6502","158","11870"
"20:43:00","Starfield","9391,3","15980","12688","3866","121","11851"
"20:43:00","obs64","289,9","1065,1","71,7","6502","158","11851"
"20:43:16","Starfield","9391,4","15980","12688","3878","122","11860"
"20:43:16","obs64","289,9","1065,1","71,7","6502","158","11860"
"20:43:31","Starfield","9391,4","15980,1","12688,1","3878","122","11825"
"20:43:31","obs64","289,9","1065,1","71,7","6502","158","11825"
"20:43:46","Starfield","9391,8","15980,4","12688,4","3878","121","11832"
"20:43:46","obs64","289,8","1065,1","71,7","6498","158","11832"
